Other,Tool,Economic,Connection,Info,Spanish,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1
,,,1,1,Spanish,62,2,4,1,3,3,1,1
,,,,1,Spanish,58,98,4,2,2,1,1,7
,1,,,,Spanish,40,3,2,1,3,1,1,1
,,1,,,Spanish,38,4,2,1,7,4,1,7
,,,,1,Spanish,40,99,9,1,1,4,1,7
,,1,1,,Spanish,68,2,4,4,1,1,1,7
1,,,,,Spanish,72,2,4,3,3,3,1,7
,,,1,,Spanish,47,5,3,4,4,1,1,1
,,,1,,Spanish,23,98,2,6,5,2,1,1
,,,,1,Spanish,62,4,2,1,3,1,1,7
,,,,1,Spanish,51,99,2,5,7,1,1,1
,,,,1,Spanish,30,2,2,4,6,2,1,1
,,,1,,Spanish,42,5,3,1,3,4,1,1
,,,,1,Spanish,30,6,8,1,1,1,1,1
,,,,1,Spanish,32,3,2,1,3,4,1,1
1,,,,,Spanish,77,1,1,5,3,3,1,1
,1,,1,1,Spanish,27,98,1,6,2,1,1,7
,,,,1,Spanish,36,1,4,2,6,1,1,7
,,,1,,Spanish,37,1,3,1,2,4,1,7
,,1,,,Spanish,37,1,2,1,3,1,1,1
,,,1,,Spanish,56,99,2,1,1,4,1,1
,,1,,1,Spanish,34,3,2,6,3,1,1,7
,,1,,,Spanish,50,1,1,1,5,1,1,8
,,,,,Spanish,74,1,4,4,6,3,1,2
1,,,,,Spanish,18,1,3,6,3,2,1,8
1,,,,,Spanish,55,1,3,2,98,2,1,1
,,,,1,Spanish,39,3,2,6,3,1,1,1
,,,1,1,Spanish,88,98,4,1,6,4,1,1
,,,,1,Spanish,24,98,2,6,1,4,1,7
,,,,1,Spanish,43,5,2,1,3,1,1,7
,,,,1,Spanish,68,99,2,1,8,1,1,7
,,,1,,Spanish,71,1,4,1,98,4,1,1
1,,,,,Spanish,33,1,2,1,1,1,1,8
,,,,1,Spanish,35,3,2,6,6,8,1,7
,,,,1,Spanish,34,2,2,4,2,1,1,7
,,,1,,Spanish,38,2,3,1,1,2,1,1
,,,1,1,Spanish,54,1,2,1,1,1,1,1
,,,1,,Spanish,19,3,2,6,3,1,1,1
,,,,,Spanish,24,1,2,3,6,4,1,1
,,,1,,Spanish,57,4,2,1,1,1,1,9
,,,1,,Spanish,38,5,2,1,3,1,1,7
,,,,1,Spanish,29,3,1,2,2,4,1,7
,1,,,,Spanish,31,5,3,1,7,1,1,7
,,,,1,Spanish,55,5,1,1,3,1,1,7
,,,,1,Spanish,41,99,2,4,3,1,1,7
,1,,,,Spanish,75,98,2,1,1,3,1,1
,,,,1,Spanish,65,1,4,3,1,1,1,7
,1,1,,1,Spanish,46,3,2,1,3,1,1,7
,,1,,,Spanish,50,2,2,4,4,2,1,7
,1,,,1,Spanish,50,2,9,1,2,2,1,7
1,,,,,Spanish,51,8,3,3,7,1,1,1
,,,,1,Spanish,26,2,2,1,4,4,1,1
,,1,1,1,Spanish,55,1,1,4,1,2,1,7
,,,,1,Spanish,44,1,2,4,6,4,1,1
,,,,1,Spanish,58,99,2,3,6,3,1,1
1,,,,,Spanish,27,2,3,4,1,1,1,7
,,,1,,Spanish,50,2,2,1,1,1,1,8
,,,1,,Spanish,43,1,1,1,2,1,1,1
1,,,,,Spanish,45,3,2,4,1,1,1,7
,,,,1,Spanish,50,6,3,4,6,1,1,1
,,,,1,Spanish,40,3,2,1,3,2,1,7
1,,,,,Spanish,32,3,3,1,3,1,1,3
,,,1,1,Spanish,33,6,4,1,3,1,1,1
,,,1,,Spanish,34,5,2,1,3,1,1,5
,,,1,,Spanish,45,98,2,1,8,2,1,1
,1,,,,Spanish,66,3,1,1,4,3,1,1
,,,,1,Spanish,43,6,2,1,3,4,1,1
,,,1,,Spanish,25,4,2,6,6,1,1,1
,,1,,,Spanish,30,2,2,1,1,2,1,1
,1,,1,,Spanish,54,2,2,1,2,6,1,1
,,,,1,Spanish,68,1,1,6,7,3,1,7
,,,1,,Spanish,27,3,1,1,3,2,1,1
1,,,,,Spanish,57,2,4,1,1,1,1,7
