Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
,,,1,1,2,62,2,4,1,3,3,1,1,3,12,2,,,,,,1,,,,,,,,,,
,,,,1,2,58,98,4,2,2,1,1,7,1,42,2,,,1,,,,,,,,,,,1,,1
,1,,,,2,40,3,2,1,3,1,1,1,1,42,1,,,,,,,,,,,,,,,,
,,1,,,2,38,4,2,1,7,4,1,7,4,53,2,,,,,,,,,,,,,,,,
,,,,1,2,40,99,9,1,1,4,1,7,4,41,2,,,,,,1,,,,,,,1,,,
,,1,1,,2,68,2,4,4,1,1,1,7,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,72,2,4,3,3,3,1,7,4,6,2,,,,,,,,,,,,,,,,
,,,1,,2,47,5,3,4,4,1,1,1,1,34,1,,,,,,,,,,,,,,,,
,,,1,,2,23,98,2,6,5,2,1,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,2,62,4,2,1,3,1,1,7,3,48,1,,1,,,,,,,,,,1,,,,
,,,,1,2,51,99,2,5,7,1,1,1,3,12,1,,,,,,1,,,,,,,,,,
,,,,1,2,30,2,2,4,6,2,1,1,3,12,2,,,,,,,,,,1,1,,,,,
,,,1,,2,42,5,3,1,3,4,1,1,3,21,2,,,,,,,,,,,,,,,,
,,,,1,2,30,6,8,1,1,1,1,1,4,41,1,,,,1,,,,,,,,,,,,
,,,,1,2,32,3,2,1,3,4,1,1,2,17,2,,,,,,1,,,,,,1,,,,
1,,,,,2,77,1,1,5,3,3,1,1,3,48,2,,,,,,,,,,,,,,,,
,1,,1,1,2,27,98,1,6,2,1,1,7,1,42,1,,,1,,,,,,,1,,,,,,
,,,,1,2,36,1,4,2,6,1,1,7,3,12,1,,,,,,,,,,1,,,,,,
,,,1,,2,37,1,3,1,2,4,1,7,4,4,2,,,,,,,,,,,,,,,,
,,1,,,2,37,1,2,1,3,1,1,1,4,35,1,,,,,,,,,,,,,,,,
,,,1,,2,56,99,2,1,1,4,1,1,4,6,2,,,,,,,,,,,,,,,,
,,1,,1,2,34,3,2,6,3,1,1,7,4,6,1,1,,,,,,,,,,,,,,,
,,1,,,2,50,1,1,1,5,1,1,8,4,6,2,,,,,,,,,,,,,,,,
,,,,,2,74,1,4,4,6,3,1,2,4,6,1,,,,,,,,,,,,,,,,
1,,,,,2,18,1,3,6,3,2,1,8,3,13,1,,,,,,,,,,,,,,,,
1,,,,,2,55,1,3,2,98,2,1,1,2,17,2,,,,,,,,,,,,,,,,
,,,,1,2,39,3,2,6,3,1,1,1,4,6,1,,,,,,1,,,,,,,,,,
,,,1,1,2,88,98,4,1,6,4,1,1,3,12,2,1,,,,,,,,1,,,,,,,1
,,,,1,2,24,98,2,6,1,4,1,7,1,9,2,1,,,,,,,,,,,,,,,
,,,,1,2,43,5,2,1,3,1,1,7,3,48,1,,,,,,,,,1,,,,,,,1
,,,,1,2,68,99,2,1,8,1,1,7,3,12,1,,1,,,,,,,,,,,,,,
,,,1,,2,71,1,4,1,98,4,1,1,3,12,2,,,,,,,,,,,,,,,,
1,,,,,2,33,1,2,1,1,1,1,8,4,53,2,,,,,,,,,,,,,,,,
,,,,1,2,35,3,2,6,6,8,1,7,3,12,2,,,,,,,,,,1,,,,,,
,,,,1,2,34,2,2,4,2,1,1,7,3,48,1,,,,,,1,,,1,,,,,,,1
,,,1,,2,38,2,3,1,1,2,1,1,3,1,1,,,,,,,,,,,,,,,,
,,,1,1,2,54,1,2,1,1,1,1,1,4,6,1,,,,,,,,,1,,,,,,,1
,,,1,,2,19,3,2,6,3,1,1,1,3,51,1,,,,,,,,,,,,,,,,
,,,,,2,24,1,2,3,6,4,1,1,1,34,2,,,,,,,,,,,,,,,,
,,,1,,2,57,4,2,1,1,1,1,9,2,46,2,,,,,,,,,,,,,,,,
,,,1,,2,38,5,2,1,3,1,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,2,29,3,1,2,2,4,1,7,3,22,2,1,,,,1,,,,,,1,,,,,
,1,,,,2,31,5,3,1,7,1,1,7,2,39,1,,,,,,,,,,,,,,,,
,,,,1,2,55,5,1,1,3,1,1,7,3,13,1,1,,,,1,,,,,,,,1,,,
,,,,1,2,41,99,2,4,3,1,1,7,3,11,2,,,,1,1,,,,,,,,,,,
,1,,,,2,75,98,2,1,1,3,1,1,2,17,1,,,,,,,,,,,,,,,,
,,,,1,2,65,1,4,3,1,1,1,7,4,6,2,,,,,,1,,,,,,,,,,
,1,1,,1,2,46,3,2,1,3,1,1,7,4,4,1,,,,1,,,,,,,,,,,,
,,1,,,2,50,2,2,4,4,2,1,7,4,6,1,,,,,,,,,,,,,,,,
,1,,,1,2,50,2,9,1,2,2,1,7,4,6,2,,,,,,1,,,,,,,,,,
1,,,,,2,51,8,3,3,7,1,1,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,2,26,2,2,1,4,4,1,1,3,48,2,,,,,,,,,1,,,,,,,1
,,1,1,1,2,55,1,1,4,1,2,1,7,3,12,2,1,,,,1,,,,,,,,,,,
,,,,1,2,44,1,2,4,6,4,1,1,1,36,2,1,,,1,,1,,,,,,,,,,
,,,,1,2,58,99,2,3,6,3,1,1,3,12,1,,,,1,,,,,1,,,,,,,1
1,,,,,2,27,2,3,4,1,1,1,7,3,12,2,,,,,,,,,,,,,,,,
,,,1,,2,50,2,2,1,1,1,1,8,3,24,1,,,,,,,,,,,,,,,,
,,,1,,2,43,1,1,1,2,1,1,1,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,45,3,2,4,1,1,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,2,50,6,3,4,6,1,1,1,3,12,1,,,,,,,,,1,,,,,,,1
,,,,1,2,40,3,2,1,3,2,1,7,4,6,2,,,,,,1,,,,,,,,,,
1,,,,,2,32,3,3,1,3,1,1,3,2,17,1,,,,,,,,,,,,,,,,
,,,1,1,2,33,6,4,1,3,1,1,1,1,36,1,1,,,,,,,,,,,,,,,
,,,1,,2,34,5,2,1,3,1,1,5,4,6,1,,,,,,,,,,,,,,,,
,,,1,,2,45,98,2,1,8,2,1,1,3,12,1,,,,,,,,,,,,,,,,
,1,,,,2,66,3,1,1,4,3,1,1,3,12,2,,,,,,,,,,,,,,,,
,,,,1,2,43,6,2,1,3,4,1,1,4,6,2,1,,,,,,,,,,,,,1,,
,,,1,,2,25,4,2,6,6,1,1,1,4,6,2,,,,,,,,,,,,,,,,
,,1,,,2,30,2,2,1,1,2,1,1,1,34,1,,,,,,,,,,,,,,,,
,1,,1,,2,54,2,2,1,2,6,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,2,68,1,1,6,7,3,1,7,4,6,1,,,,1,,,,,,,,,,,,1
,,,1,,2,27,3,1,1,3,2,1,1,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,57,2,4,1,1,1,1,7,4,4,1,,,,,,,,,,,,,,,,
,1,,,1,2,40,4,3,1,3,1,1,1,3,21,1,,,1,,,,,,,,,,,,,
,,1,,,2,38,99,2,1,3,1,1,7,4,6,1,,,,,,,,,,,,,,,,
